event_key,detected_at,last_seen,person,event,category,momentum,acceleration,spice,risk,youtube_saturation,opportunity,alert,angle,status,tts_forecast_hours,window_state,window_remaining_min,sources,video_count_6h,score_version
story-noah-woods,2026-09-25T11:31:22.687Z,2026-09-25T18:11:07.662Z,Noah Woods,Noah Woods: trending now,scandal,14,0,10,34,23,23,ARCHIVE,The Noah Woods noah woods: what happened to noah woods story is actually a money story — the detail nobody has explained,KEPT,4.9,closed,-256,trends|news,9,v2
story-netflix-reveals-first,2026-09-25T18:02:57.581Z,2026-09-25T18:11:07.662Z,Netflix Reveals First,Netflix Reveals First: Look at Upcoming Live-Action Remake of a Disney Classic,scandal,18,-1,0,64,0,19,ARCHIVE,What the Netflix Reveals First netflix reveals first: look at upcoming live-action remake of a disney classic filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,52,news,0,v2
story-vincent-cassel,2026-09-25T18:02:57.581Z,2026-09-25T18:11:07.662Z,Vincent Cassel,"Vincent Cassel: Quasimodo, the heart of Paris: Vincent Cassel stars as the famous hunchback on Netflix",celebrity,18,-1,7,64,0,22,ARCHIVE,The Vincent Cassel story is a proxy fight about something bigger — the other side of the fight,RESEARCH,6,unknown,202,news,0,v2
story-charles-spencer-s,2026-09-24T07:55:26.302Z,2026-09-25T17:45:17.415Z,Charles Spencer's,Charles Spencer's: ‘My Husband Is in Love With His Valet’: Takeaways From Charles Spencer’s Memoir,scandal,19,-1,0,34,63,19,ARCHIVE,What the Charles Spencer's charles spencer's: ‘my husband is in love with his valet’: takeaways from charles spencer’s memoir filings actually say — line by line — the other side of the fight,ARCHIVED,2.3,closed,-2042,news,25,v2
story-mark-consuelos,2026-09-25T17:25:30.650Z,2026-09-25T17:25:30.650Z,Mark Consuelos,Mark Consuelos: Announces ‘Major Surgery’ in ‘Live’ Health Update,scandal,36,0,4,64,30,27,ARCHIVE,What the Mark Consuelos mark consuelos: announces ‘major surgery’ in ‘live’ health update filings actually say — line by line — the other side of the fight,RESEARCH,3.1,closed,0,trends|news,12,v2
story-nick-bosa,2026-09-25T15:44:45.474Z,2026-09-25T16:07:08.554Z,Nick Bosa,Nick Bosa: injury,celebrity,24,-4,0,64,63,18,ARCHIVE,The Nick Bosa story is a proxy fight about something bigger — the other side of the fight,RESEARCH,3.9,closed,0,trends|news,25,v2
story-david-jonsson,2026-09-25T14:13:23.768Z,2026-09-25T15:22:11.444Z,David Jonsson,David Jonsson: Shares First Look at His Physical Training Since He Was Named Next Black Panther Star,tech,21,-2,5,64,8,20,ARCHIVE,The David Jonsson david jonsson: shares first look at his physical training since he was named next black panther star story is actually a money story — the other side of the fight,RESEARCH,5,closed,0,news,3,v2
story-jonsson-shares-first,2026-09-25T14:40:45.354Z,2026-09-25T15:22:11.444Z,Jonsson Shares First,Jonsson Shares First: David Jonsson Shares First Look at His Physical Training Since He Was Named Next Black Panther Star,tech,17,-1,5,64,0,19,ARCHIVE,The Jonsson Shares First jonsson shares first: david jonsson shares first look at his physical training since he was named next black panther star story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,259,news,0,v2
story-jonsson-gives-glimpse,2026-09-25T14:40:45.354Z,2026-09-25T15:22:11.444Z,Jonsson Gives Glimpse,Jonsson Gives Glimpse: David Jonsson Gives Glimpse into His Black Panther Training.,tech,17,-1,0,64,0,18,ARCHIVE,The Jonsson Gives Glimpse jonsson gives glimpse: david jonsson gives glimpse into his black panther training. story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,259,news,0,v2
story-will-win,2026-09-25T14:40:45.354Z,2026-09-25T15:22:11.444Z,Will Win,Will Win: Experts Predict: Who Will Win Laver Cup London 2026?,scandal,17,-1,0,64,0,19,ARCHIVE,What the Will Win will win: experts predict: who will win laver cup london 2026? filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,19,news,0,v2
story-max-verstappen,2026-09-25T14:40:45.354Z,2026-09-25T14:40:45.354Z,Max Verstappen,Max Verstappen: pips George Russell in closing stages of Azerbaijan GP final practice,tech,19,0,0,64,0,18,ARCHIVE,The Max Verstappen max verstappen: pips george russell in closing stages of azerbaijan gp final practice story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,300,news,0,v2
